#k-distance frequency[THz]
0.64477704 0.23209201
0.64742041 0.18713450
0.65006377 0.12985304
0.65270714 -0.02023087
0.65535051 -0.12892918
0.65799387 -0.17785791
0.66063726 -0.21289169
0.66328063 -0.23999811
0.66592400 -0.26152714
0.66856736 -0.27870240
0.67121073 -0.29226685
0.67385410 -0.30272151
0.67649746 -0.31043287
0.67914083 -0.31568847
0.68178422 -0.31872883
0.68442758 -0.31976804
0.68707095 -0.31900897
0.68971432 -0.31665675
0.69235768 -0.31293350
0.69500105 -0.30809708
0.69764442 -0.30246664
0.70028778 -0.29645575
0.70293117 -0.29060575
0.70557454 -0.28559382
0.70821791 -0.28216399
0.71086127 -0.28093794

0.00000000 -0.73428772
0.00259421 -0.73208967
0.00518843 -0.72545576
0.00778263 -0.71426353
0.01037685 -0.69829847
0.01297106 -0.67725774
0.01556528 -0.66043017
0.01815948 -0.64948833
0.02075369 -0.63706546
0.02334791 -0.62320517
0.02594212 -0.60797923
0.02853634 -0.59146796
0.03113054 -0.57375687
0.03372476 -0.54458113
0.03631897 -0.50629050
0.03891317 -0.46830649
0.04150739 -0.43155715
0.04410160 -0.39680018
0.04669582 -0.36457473
0.04929003 -0.33524202
0.05188425 -0.30907411
0.05447845 -0.28634027
0.05707266 -0.26735874
0.05966688 -0.25250029
0.06226108 -0.24214025
0.06485530 -0.23656854
0.06744951 -0.23588825
0.07004373 -0.23994994
0.07263794 -0.24833946
0.07263794 -0.24833946
0.07528147 -0.23591122
0.07792501 -0.21835487
0.08056856 -0.19435655
0.08321210 -0.16117963
0.08585563 -0.11115562
0.08849917 0.05476856
0.09114271 0.14125221
0.09378625 0.19576489
0.09642980 0.24060151
0.09907333 0.27995375
0.10171687 0.31537344
0.10436041 0.34755244
0.10700394 0.37681942
0.10964750 0.40333613
0.11229103 0.42719531
0.11493457 0.44847854
0.11757811 0.46729398
0.12022164 0.48380076
0.12286520 0.49822195
0.12550873 0.51084693
0.12815227 0.52202415
0.13079581 0.53214604
0.13343934 0.54162896
0.13608288 0.55089110
0.13872643 0.56033139
0.14136997 0.57031133
0.14401351 0.58111337
0.14401351 0.58111337
0.14660771 0.56793993
0.14920193 0.55280770
0.15179614 0.53594258
0.15439036 0.51748854
0.15698456 0.49757391
0.15957878 0.47630706
0.16217299 0.45377256
0.16476720 0.43002750
0.16736142 0.40509707
0.16995562 0.37896820
0.17254984 0.35157898
0.17514405 0.32279981
0.17773827 0.29239814
0.18033247 0.25996872
0.18292668 0.22478259
0.18552090 0.18540496
0.18811511 0.13841354
0.19070933 0.06996920
0.19330353 -0.09165496
0.19589775 -0.14393480
