#k-distance frequency[THz]
0.67192856 0.63145455
0.67452121 0.62106943
0.67711388 0.61081708
0.67970653 0.60083595
0.68229920 0.59125672
0.68489185 0.58220143
0.68748452 0.57378276
0.69007717 0.56610342
0.69266982 0.55925559
0.69526249 0.55332041
0.69785514 0.54836751
0.70044781 0.54445456
0.70304046 0.54162690
0.70563312 0.53991717
0.70822578 0.53934507
0.70822578 0.53934507
0.71085180 0.54131486
0.71347783 0.54716946
0.71610386 0.55675067
0.71872989 0.56981297
0.72135592 0.58604607
0.72398194 0.60509945
0.72660797 0.62660461
0.72923400 0.65019282
0.73186003 0.67550711
0.73448606 0.70220881
0.73711209 0.72997925
0.73973811 0.74722151
0.74236414 0.75419066
0.74499017 0.76164245
0.74761620 0.77002232
0.75024223 0.77963358
0.75286826 0.79065339
0.75549428 0.80316033
0.75812031 0.81715860
0.76074634 0.83259561
0.76337237 0.84937313
0.76599840 0.86735299
0.76862442 0.88635677
0.77125045 0.90615666
0.77387648 0.92644640

0.00000000 -0.00000001
0.00259265 0.03659343
0.00518532 0.07308653
0.00777797 0.10937899
0.01037064 0.14555017
0.01296329 0.18122518
0.01555595 0.21642281
0.01814861 0.25104534
0.02074126 0.28499404
0.02333392 0.31816920
0.02592658 0.35047052
0.02851924 0.38179761
0.03111189 0.41205101
0.03370456 0.44113359
0.03629721 0.46895257
0.03888986 0.49542215
0.04148253 0.52046694
0.04407518 0.54402631
0.04666785 0.56605988
0.04926050 0.58655432
0.05185317 0.60553145
0.05444582 0.62305733
0.05703847 0.63925127
0.05963114 0.63143712
0.06222379 0.62220126
0.06481646 0.61191885
0.06740911 0.60037506
0.07000177 0.58740216
0.07259443 0.57291340
0.07259443 0.57291340
0.07520329 0.57382740
0.07781216 0.57651977
0.08042103 0.58084776
0.08302989 0.58659244
0.08563878 0.59348482
0.08824765 0.60123710
0.09085652 0.60957369
0.09346538 0.61825623
0.09607425 0.62709800
0.09868312 0.63596656
0.10129198 0.64477704
0.10390085 0.65348035
0.10650972 0.66205067
0.10911861 0.67047473
0.11172747 0.67874396
0.11433634 0.68684931
0.11694521 0.69477791
0.11955407 0.70251102
0.12216294 0.71002253
0.12477181 0.71727767
0.12738067 0.72423159
0.12998954 0.73082796
0.13259843 0.73699760
0.13520730 0.74265765
0.13781617 0.74771210
0.14042503 0.75205465
0.14303390 0.75557516
0.14564277 0.75817012
0.14825163 0.75975638
0.15086050 0.76028555
0.15346937 0.75975489
0.15607826 0.75821185
0.15868712 0.75575138
0.16129599 0.75250792
0.16390486 0.74864533
0.16651372 0.74434681
0.16912259 0.73980613
0.17173146 0.73522003
0.17434032 0.73078137
0.17694919 0.72667288
0.17955808 0.72306118
0.18216695 0.72009125
0.18477581 0.71788149
0.18738468 0.71651961
0.18999355 0.71605955
0.18999355 0.71605955
0.19258620 0.71664320
0.19517887 0.71839260
0.19777152 0.72130303
0.20036418 0.72536613
0.20295684 0.73056905
0.20554950 0.73689350
0.20814215 0.74431449
0.21073481 0.75279899
0.21332747 0.76230457
0.21592012 0.77277789
0.21851279 0.78415323
0.22110544 0.79635070
0.22369811 0.80927396
0.22629076 0.82280672
0.22888341 0.83680659
0.23147608 0.85109388
0.23406873 0.86542999
0.23666140 0.87947642
0.23925405 0.89272356
0.24184672 0.90441041
0.24443937 0.91360870
0.24703202 0.91977169
0.24962469 0.92328588
0.25221734 0.92507121
0.25481000 0.92590894
0.25740266 0.92627207
0.25999532 0.92641160
0.26258797 0.92644647
0.26258797 0.92644647
0.26519684 0.94730082
